Chris Ré, Associate Professor, Artificial Intelligence + Computer Systems + Data Science + Statistical or Theoretical Machine Learning
Clark Barrett, Professor, Artificial Intelligence + Architecture + Computer Systems + Human-Centered and Creative AI + Programming Systems and Verification
Monica Lam, Professor, Artificial Intelligence + Computer Systems + Human-Centered and Creative AI + Natural Language Processing and Speech
