Sanmi Koyejo, Assistant Professor, Artificial Intelligence + Biomedicine and Health + Computational Biology + Computational Cognitive & Neuro-science + Human-Centered and Creative AI + Machine Learning + Statistical or Theoretical Machine Learning
Dan Yamins, Assistant Professor, Artificial Intelligence + Computational Biology + Computational Cognitive & Neuro-science + Computer Vision + Empirical Machine Learning + Human-Centered and Creative AI
Anshul Kundaje, Assistant Professor, Artificial Intelligence + Biomedicine and Health + Computational Biology + Empirical Machine Learning
Ron Dror, Associate Professor, Artificial Intelligence + Biomedicine and Health + Computational Biology + Empirical Machine Learning
Gill Bejerano, Professor, Artificial Intelligence + Computational Biology
